Borough,€ per m2,,Name_paris,€ per m2,,Name_madrid,€ per m2,,Name_berlin,€ per m2
Barking and Dagenham,4393.4,,Louvre,10907,,Centro,4426,,Mitte,7102
Barnet,7334.8,,Bourse,10811,,Arganzuela,3750,,Moabit,7102
Bexley,4645.3,,Temple,11490,,Retiro,3872,,Hansaviertel,7102
Brent,7802.3,,Hôtel-de-Ville,12524,,Salamanca,4929,,Tiergarten,7102
Bromley,5572.6,,Panthéon,11370,,Chamartin,4371,,Wedding,7102
Camden,13938.1,,Luxembourg,14207,,Tetuan,3392,,Gesundbrunnen,7102
Croydon,5118.3,,Palais-Bourbon,13599,,Chamberi,4783,,Friedrichshain,5406
Ealing,7495.4,,Élysée,12454,,Fuencarral-El Pardo,3190,,Kreuzberg,6309
Enfield,5860.8,,Opéra,10603,,Moncloa-Aravaca,3633,,Prenzlauer Berg,5557
Greenwich,5977.4,,Enclos-St-Laurent,9585,,Latina,2130,,Weißensee,5557
Hackney,9420.4,,Popincourt,9802,,Carabanchel,1987,,Blankenburg,5557
Hammersmith and Fulham,11789.8,,Reuilly,8976,,Usera,1872,,Heinersdorf,5557
Haringey,7811.1,,Gobelins,8247,,Puente de Vallecas,1726,,Karow,5557
Harrow,6344.8,,Observatiore,10077,,Moratalaz,2376,,Stadtrandsiedlung Malchow,5557
Havering,4603.5,,Vaugirard,9763,,Ciudad Lineal,2836,,Pankow,4867
Hillingdon,5973,,Passy,11994,,Hortaleza,3100,,Blankenfelde,4867
Hounslow,6565.9,,Batignolles-Monceau,11063,,Villaverde,1637,,Buch,4867
Islington,10703,,Butte-Montmartre,9055,,Villa de Vallecas,2205,,Französisch Buchholz,4867
Kensington and Chelsea,21382.9,,Buttes-Chaumont,7883,,Vicalvaro,2130,,Niederschönhausen,4867
Kingston upon Thames,6987.2,,Ménilmontant,8241,,San Blas,2365,,Rosenthal,4867
Lambeth,9280.7,,,,,Barajas,2927,,Wilhelmsruh,4867
Lewisham,6925.6,,,,,,,,Charlottenburg,5886
Merton,7485.5,,,,,,,,Wilmersdorf,5760
Newham,5461.5,,,,,,,,Schmargendorf,5760
Redbridge,5452.7,,,,,,,,Grunewald,7117
Richmond upon Thames,8992.5,,,,,,,,Westend,7117
Southwark,9660.2,,,,,,,,Charlottenburg-Nord,7117
Sutton,5564.9,,,,,,,,Halensee,7117
Tower Hamlets,9399.5,,,,,,,,Spandau,3613
Waltham Forest,6615.4,,,,,,,,Haselhorst,3613
Wandsworth,10627.1,,,,,,,,Siemensstadt,3613
Westminster,17870.6,,,,,,,,Staaken,3613
City of London,19108.1,,,,,,,,Gatow,3613
,,,,,,,,,Kladow,3613
,,,,,,,,,Hakenfelde,3613
,,,,,,,,,Falkenhagener Feld,3613
,,,,,,,,,Wilhelmstadt,3613
,,,,,,,,,Steglitz,4725
,,,,,,,,,Lichterfelde,4725
,,,,,,,,,Lankwitz,4725
,,,,,,,,,Zehlendorf,5179
,,,,,,,,,Dahlem,7287
,,,,,,,,,Nikolassee,7287
,,,,,,,,,Wannsee,7287
,,,,,,,,,Schöneberg,5251
,,,,,,,,,Friedenau,5251
,,,,,,,,,Tempelhof,4119
,,,,,,,,,Mariendorf,4119
,,,,,,,,,Marienfelde,4119
,,,,,,,,,Lichtenrade,4119
,,,,,,,,,Neukölln,4900
,,,,,,,,,Britz,4900
,,,,,,,,,Buckow,4900
,,,,,,,,,Rudow,4900
,,,,,,,,,Gropiusstadt,4900
,,,,,,,,,Alt-Treptow,4042
,,,,,,,,,Plänterwald,4042
,,,,,,,,,Baumschulenweg,4042
,,,,,,,,,Johannisthal,4042
,,,,,,,,,Niederschöneweide,4042
,,,,,,,,,Altglienicke,4042
,,,,,,,,,Adlershof,4042
,,,,,,,,,Bohnsdorf,4042
,,,,,,,,,Oberschöneweide,4042
,,,,,,,,,Köpenick,4042
,,,,,,,,,Friedrichshagen,4042
,,,,,,,,,Rahnsdorf,4042
,,,,,,,,,Grünau,4042
,,,,,,,,,Müggelheim,4042
,,,,,,,,,Schmöckwitz,4042
,,,,,,,,,Marzahn,3160
,,,,,,,,,Biesdorf,3160
,,,,,,,,,Kaulsdorf,3160
,,,,,,,,,Mahlsdorf,3160
,,,,,,,,,Hellersdorf,3160
,,,,,,,,,Friedrichsfelde,4574
,,,,,,,,,Karlshorst,4574
,,,,,,,,,Lichtenberg,4574
,,,,,,,,,Falkenberg,4574
,,,,,,,,,Malchow,4574
,,,,,,,,,Wartenberg,4574
,,,,,,,,,Neu-Hohenschönhausen,4574
,,,,,,,,,Alt-Hohenschönhausen,4574
,,,,,,,,,Fennpfuhl,4574
,,,,,,,,,Rummelsburg,4574
,,,,,,,,,Reinickendorf,3636
,,,,,,,,,Tegel,3636
,,,,,,,,,Konradshöhe,3636
,,,,,,,,,Heiligensee,3636
,,,,,,,,,Frohnau,3636
,,,,,,,,,Hermsdorf,3636
,,,,,,,,,Waidmannslust,3636
,,,,,,,,,Lübars,3636
,,,,,,,,,Wittenau,3636
,,,,,,,,,Märkisches Viertel,3636
,,,,,,,,,Borsigwalde,3636
